题目  答案
“三十功名尘与土，八千里路云和月。”是_____的诗句？	岳飞
“不为五斗米折腰”的诗人是下列哪一位？	陶渊明
“云想衣裳花想容，春风拂槛露华浓”是形容谁的诗？	杨玉环
“但愿人长久，千里共婵娟”，其中的婵娟是指下列哪种事物?	月亮
“停车坐爱枫林晚，霜叶红于二月花。”中的“坐”的意思是。	因为
“出师一表真名世”描写的是下列哪一位先贤？	诸葛亮
“别时容易见时难”是下列哪位诗人的诗？	李煜
“千树万树梨花开”描述的是下列哪种景色？	冬夜景色
“危楼高百尺”的下一句是什么？	手可摘星辰
“天子呼来不上船，自称臣是酒中仙”出自下列哪位作者？	杜甫
“天阶夜色凉如水，卧看牵牛织女星。”出自下列哪一部作品?	杜牧《秋夕》
“嫦娥应悔偷灵药”中的灵药指的是？	长生不老药
“小荷才露尖尖角，早有蜻蜓立上头”出自下列那首诗/词？	《小池》
“岱宗夫如何，齐鲁青未了”中的“岱宗”是指下列哪座山？	泰山
“已是悬崖百丈冰，犹有花枝俏”这两句词描写的是下列哪种季节？	冬天景色
“忽如一夜春风来”的下一句诗是什么？	千树万树梨花开
“春城无处不飞花，寒食东风御柳斜。” 寒食节是我国传统的什么节日？	清明节
“春蚕到死丝方尽”的下一句诗是什么？	蜡炬成灰泪始干
“春蚕到死丝方尽，蜡炬成灰泪始干。”出自_____的《无题》？	李商隐
“春风送暖入屠苏”，这里的“屠苏”指的是下列哪种事物?	酒
“月落乌啼霜满天，江枫渔火对愁眠”描述的是哪个景色？	秋
“杨花落尽子规啼”中的“杨花”指下列哪一种花？	柳絮
“柔情似水，佳期如梦，忍顾鹊桥归路”描写的是下列哪一个节日？	七夕
“桑梓”一词在古诗词中多借指什么？	家乡
“横看成岭侧成峰，远近高低各不同”描写的是下列哪一座山？	庐山
“正是江南好风景，落花时节又逢君。”中的”君“指的是？	李龟年
“沾衣不湿杏花雨”的下一句是？	吹面不寒杨柳风
“海上升明月，天涯共此时”是下列哪位作者的名句?	张九龄
“满城尽带黄金甲”是描写哪种花的诗句？	菊花
“潮平两岸阔，风正一帆悬”运用的是下列哪一种修辞手法?	对偶
“煮豆燃豆萁”的下一句诗是什么？	豆在釜中泣
